proc,mat_size,time
1,4,0.00500037
1,8,4.4684e-05
1,16,0.000201666
1,32,0.00126999
1,64,0.00947047
1,128,0.0734229
1,256,0.569815
1,384,1.91527
1,512,4.5296
1,640,8.86039
1,768,15.4308
1,896,24.7194
1,1024,36.7437
2,4,5.2497e-05
2,8,0.000105644
2,16,0.000234021
2,32,0.0012548
2,64,0.00705299
2,128,0.0467297
2,256,0.356545
2,384,1.15697
2,512,2.8194
2,640,5.38591
2,768,9.48076
2,896,15.3427
2,1024,22.4539
3,4,4.124e-05
3,8,9.2282e-05
3,16,0.000386678
3,32,0.00154287
3,64,0.00642896
3,128,0.0420676
3,256,0.319906
3,384,0.994203
3,512,2.31236
3,640,4.45435
3,768,7.77464
3,896,12.2328
3,1024,18.0343
4,4,9.1792e-05
4,8,0.000157559
4,16,0.000425606
4,32,0.00165039
4,64,0.00644161
4,128,0.0441084
4,256,0.361045
4,384,1.08468
4,512,2.13229
4,640,4.05949
4,768,6.91439
4,896,10.7446
4,1024,15.5994
