file,cores,time
python,1,19.491886242
python,2,16.889216088
python,3,16.516348333
python,4,16.392411605
python,5,17.508512459
python,6,18.437910422
python,7,17.808056914
python,8,17.124364136
ulaval,1,18.129680673
ulaval,2,17.144475737
ulaval,3,15.574049389
ulaval,4,18.270912726
ulaval,5,16.869163813
ulaval,6,16.905354583
ulaval,7,16.778233297
ulaval,8,18.030930115
apache,1,8.090807218
apache,2,7.893523972
apache,3,7.746272639
apache,4,7.442461376
apache,5,7.926939141
apache,6,8.663375522
apache,7,8.052595936
apache,8,7.932390062
